Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region
"9/1/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,""$1,097"",$220,9/24/16,11,California"
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,$685,$220,11/23/16,11,California
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Green,$690,$220,11/23/16,11,California
"9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,""$1,075"",$220,11/23/16,11.5,Kentucky"
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$828,$220,2/11/17,11,Rhode Island
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$798,$220,2/11/17,8.5,Michigan
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$784,$220,12/17/16,11,California
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$460,$220,4/29/17,10,New York
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$465,$220,4/29/17,11,Kansas
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$465,$220,4/29/17,11,Florida
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$515,$220,4/29/17,11.5,New Jersey
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$473,$220,4/29/17,10,Texas
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$460,$220,4/29/17,9,Florida
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$570,$220,2/25/17,14,Michigan
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$525,$220,2/25/17,8,New York
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$658,$220,2/25/17,11,California
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$650,$220,2/25/17,11,North Carolina
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$610,$220,2/25/17,10,New Jersey
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$589,$220,2/25/17,9,New York
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$850,$220,2/25/17,5.5,Michigan
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$546,$220,2/25/17,9,Florida
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$586,$220,2/25/17,9.5,Oregon
9/1/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$640,$220,2/25/17,14,California
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$850,$220,9/24/16,8,Alabama
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,$999,$220,11/23/16,11,Kentucky
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$740,$220,2/11/17,9,New York
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$765,$220,2/11/17,8,New York
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$800,$220,12/17/16,11.5,Kentucky
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$470,$220,4/29/17,10.5,California
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$455,$220,4/29/17,8.5,Oregon
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$479,$220,4/29/17,10,Delaware
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$572,$220,2/25/17,9,Florida
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$580,$220,2/25/17,9,Virginia
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$590,$220,2/25/17,14,Wisconsin
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$625,$220,2/25/17,10,Texas
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$595,$220,2/25/17,9,New Jersey
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$589,$220,2/25/17,9,Wisconsin
9/2/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$635,$220,2/25/17,11,Colorado
"9/3/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,""$1,068"",$220,9/24/16,10,Kentucky"
"9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,""$1,095"",$220,11/23/16,13,New Jersey"
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$820,$220,2/11/17,10,California
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$750,$220,2/11/17,10.5,New York
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$715,$220,12/17/16,9,Florida
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$870,$220,12/17/16,12,Massachusetts
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$480,$220,4/29/17,9.5,California
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$459,$220,4/29/17,9,Pennsylvania
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$475,$220,4/29/17,10,Massachusetts
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$458,$220,4/29/17,9.5,Oregon
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$481,$220,4/29/17,11,Colorado
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$585,$220,2/25/17,9,Pennsylvania
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$650,$220,2/25/17,13,Alabama
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$563,$220,2/25/17,8,New York
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$695,$220,2/25/17,5,New York
9/3/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$595,$220,2/25/17,8.5,Texas
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$960,$220,9/24/16,9,California
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$785,$220,2/11/17,10.5,Texas
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$799,$220,12/17/16,10,Texas
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$850,$220,12/17/16,6.5,New Jersey
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$475,$220,4/29/17,10.5,Oregon
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$470,$220,4/29/17,10.5,Virginia
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$480,$220,4/29/17,9.5,New Jersey
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$436,$220,4/29/17,8.5,California
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$481,$220,4/29/17,9.5,Louisiana
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$630,$220,2/25/17,10.5,Massachusetts
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$650,$220,2/25/17,12,Alabama
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$605,$220,2/25/17,9.5,Washington
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$575,$220,2/25/17,8.5,Georgia
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$659,$220,2/25/17,11,Ohio
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$594,$220,2/25/17,14,California
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$625,$220,2/25/17,9.5,Colorado
9/4/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$530,$220,2/25/17,8,California
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$870,$220,9/24/16,6,New York
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,$708,$220,11/23/16,11,New Jersey
"9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red,""$1,162"",$220,11/23/16,5,California"
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$815,$220,2/11/17,11,New York
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$799,$220,2/11/17,12,California
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$775,$220,12/17/16,11,Texas
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$700,$220,12/17/16,9,New York
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$549,$220,4/29/17,13,Texas
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$470,$220,4/29/17,9.5,Oregon
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$475,$220,4/29/17,9.5,Wisconsin
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$520,$220,4/29/17,13,Florida
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$492,$220,4/29/17,13,Texas
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$470,$220,4/29/17,11,North Carolina
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$535,$220,4/29/17,13,New Jersey
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$655,$220,2/25/17,11,California
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$575,$220,2/25/17,9,Alabama
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$580,$220,2/25/17,9,Nebraska
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$600,$220,2/25/17,10.5,Texas
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$665,$220,2/25/17,11.5,Oklahoma
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$623,$220,2/25/17,10.5,Texas
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$583,$220,2/25/17,9,New York
9/5/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$652,$220,2/25/17,11.5,California
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$904,$220,9/24/16,7.5,Georgia
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,$675,$220,11/23/16,9,Ohio
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Green,$697,$220,11/23/16,10,Florida
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$845,$220,2/11/17,11.5,New York
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$815,$220,2/11/17,11,Georgia
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$650,$220,12/17/16,7.5,California
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$790,$220,12/17/16,14,Florida
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$456,$220,4/29/17,10,Connecticut
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$475,$220,4/29/17,9.5,New York
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$460,$220,4/29/17,9,Pennsylvania
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$487,$220,4/29/17,12,California
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$467,$220,4/29/17,9.5,Oregon
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$640,$220,2/25/17,6.5,Massachusetts
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$667,$220,2/25/17,12,Ohio
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$749,$220,2/25/17,12.5,Texas
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$655,$220,2/25/17,11.5,California
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$645,$220,2/25/17,11,Wisconsin
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$600,$220,2/25/17,10,California
9/6/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,$545,$220,2/25/17,8,Missouri
"9/7/17, Yeezy,Adidas-Yeezy-Boost-350-Low-Moonrock,""$1,230"",$200,11/14/15,10.5,Michigan"
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,$746,$220,9/24/16,4,Oregon
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,$699,$220,11/23/16,9,Oregon
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$775,$220,2/11/17,8,Virginia
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$911,$220,2/11/17,4,Oregon
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$830,$220,2/11/17,11,New Jersey
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,$860,$220,2/11/17,12,Ohio
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,$720,$220,12/17/16,10.5,New Jersey
9/7/17, Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,$491,$220,4/29/17,4,Massachusetts
